Food,Category,Recipe/Single_food_item,Fiber_(g),Quantity,Carbohydrate_(g),Protein_(g),Fat_(g),Calories_(kcal),Protein_(g)_nutritions,Fats_(g),Carbohydrates_(g),Starch_(g),Cholesterol_(mg),Calcium_(mg),Magnesium_(mg),Iron_(mg),Zinc_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vitamin_B6_(mg),Vitamin_B12_(mcg),"Folate,_ug",Vitamin_C_(mg),Retinol_Activity_Equivalents_(ug),Vitamin_E_(ug),total_n-6_fas_(%_of_energy),total_n-3_fas_(%_of_energy),Vitamin_B5_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Selenium_(mcg),Retinol_(mcg),Saturated_fatty_acids_(g),Mono-unsaturated_fatty_acids_(g),Poly-unsaturated_fatty_acids_(g),Free_sugars_(g)
"CARROT, TEMPERED",Dessert,R,6.633108139,100.0,51.04,5.12,10.36,366.2,2.256705046,10.29977989,10.41388798,3.519582987,0.0,166.7333984,27.02144623,1.427105069,0.412690997,0.087704599,0.064030848,0.513911605,0.176512599,0.1,25.46794128,11.41138077,1044.32605,0.319461018,3.2399999999999998,0.32,0.485919982,60.5033493,412.7461853,53.21521378,0.871899009,205.2,64.627784,22.500407000000003,104.635698,4.440197945
"CARROT, W/ COCONUT MILK",Dessert,R,3.4,86.0,27.6,4.5,9.059999999999999,420.2,2.1,17.0,8.5,3.0,0.0,39.0,22.1,1.35,0.28,0.02,0.02,0.2,0.05,0.0,16.8,2.7,530.0,0.2,1.1,0.1,0.2371755984,25.9561016,241.319578,12.2629052,85.7022466282,19.2,40.6222778,16.404369600000003,131.611362,5.898963575800001
"CASHEW APPLE, RAW",Breakfast,S,,70.85892857142856,20.979416666666665,4.363083333333333,5.174083333333334,290.1459459459459,7.446523820474934,10.092475207651717,15.836433497538463,8.600271963736311,17.62763952221255,65.59884507194305,36.349675157079886,1.993248551271523,1.0268091315687584,0.2602092450415549,0.2844709881195219,1.290470028550532,0.5215333259719253,0.46024931443288597,40.7490591116091,10.832388249754388,88.13244756646766,1.07397026874893,1.9368402579670327,0.548164685989011,1.0287957980916442,106.1212310056984,328.2084570074679,594.6611402798579,41.96178642373641,46.333333333333336,395.65910330138894,513.3889217638298,312.52470599507046,1.7257516199655172
"CASHEW NUTS, DRIED",Breakfast,S,3.9,92.0,31.52,4.0600000000000005,10.74,225.2,18.8,45.2,25.5,20.1,0.0,34.0,307.0,5.95,5.34,0.61,0.03,1.0,0.16,0.0,25.2,0.0,0.0,1.0,11.6,0.1,1.524323964,210.25892024,714.6053443399999,15.030312714,13.177588494,0.0,1637.348198,5928.113126,1788.354994,2.0721103980000004
"CASHEW NUTS, ROASTED, SALTED",Dessert,R,4.3248,78.0,25.520000000000003,2.8600000000000003,3.94,139.2,18.839399,46.063202,25.642799,20.512199,0.0,34.98,277.44,6.4247999,5.3783998,0.50286001,0.048450001,1.07559,0.15504,0.0,12.46848,0.0,0.0,1.581,4.54,0.08,1.7136,547.73999,657.90002,9.1188002,11.7708,19.2,7806.0601,28744.619,7484.7598,3.1926
"CASHEWS, W/ COCONUT MILK",Dessert,R,2.4,92.0,35.32000000000001,3.2600000000000002,1.54,159.2,8.5,26.7,13.6,9.3,0.0,28.0,129.7,2.96,2.21,0.16,0.02,0.4,0.05,0.0,13.4,1.0,29.0,0.4,8.3,0.1,1.31311467,127.96138499999999,391.83467922,16.032213424400002,9.6326201008,0.0,144.22335600000002,195.4788314,379.724466,0.9932985582
"CASSAVA AND TOMATO, BOILED, W/ COCONUT MILK",Dessert,R,4.101953,92.0,35.480000000000004,3.44,10.040000000000001,233.4,1.84914,5.629077,13.717,9.360323,0.0,25.226326,23.827887,1.466929,0.40345299,0.057995602,0.0296039,0.5974018,0.11130125,0.0,22.591177,15.406446,35.254406,0.151281,1.3599999999999999,0.24,0.23863199,42.774418,260.52341,9.5898838,0.41502503,19.2,73.048386,31.267096,152.45815,2.3080649
"CASSAVA CHIPS,FRIED,SUGAR COATED",Dessert,R,,86.0,46.4,3.8,5.0,284.4,0.36,8.8,53.0,14.1996079988,0.0,11.0,17.919199996,0.3,0.4,0.04,0.01,0.3,0.15,0.0,11.5,18.8,0.0,0.12013599999999999,0.36,0.0,0.2296252086,35.207217295999996,81.2899560786,24.100230529599997,8.3226072624,0.0,118.42100599999999,148.437556,90.6716,10.4004242032
"CASSAVA LEAVES, FRESH OR WATER-COOKED MALLUM W/ SCRAPED COCONUT",Dessert,R,3.1,106.0,43.32,3.6599999999999993,9.74,371.0,8.0,8.3,8.8,1.1,0.0,215.0,18.2,18.95,3.03,0.2,1.39,0.5,0.05,0.0,17.5,34.4,23.0,0.5,1.0,0.1,0.459925998,87.2065632,265.31183999999996,56.66977484,34.589148002,3.2,5.1522312,34.51682,39.7210174,1.5789683968000001
"CASSAVA LEAVES, TEMPERED",Dessert,R,3.992795944,100.0,51.04,5.12,10.36,366.2,5.801773548,7.523952007,6.201632977,4.507010937,0.0,178.9590302,27.67990112,2.615865946,1.598688006,0.0068918,0.132108897,0.934130251,0.259722412,0.1,63.10897446,52.52313232,1112.880981,0.015151001,3.4,0.38,0.345133007,57.68714905,490.0536194,13.15183258,7.624312878,205.2,64.62778399999999,22.500407000000003,104.635698,0.910764992
"CASSAVA LEAVES, TEMPERED MALLUM W/ SCRAPED COCONUT",Dessert,R,4.381,92.0,37.32000000000001,2.46,2.94,376.4,6.7,21.0,6.7,0.1,0.0,156.0,17.7,14.77,2.4,0.16,1.08,0.4,0.04,0.0,12.9,26.8,1.0,1.1,1.2,0.0,0.3094882016,90.45030625999999,301.06825134,97.05014623999999,1.0654086,3.2,15.093710399999997,34.51682,39.7210174,1.3869216
"CASSAVA ROOT, FRESH, DEEP-FRIED",Dessert,R,8.581903458,92.0,41.32,2.2600000000000002,2.54,183.2,1.868054032,16.03806877,28.32001877,24.64680672,0.0,44.34097672,44.24850845,2.870497704,0.407877505,0.087701775,0.029471299,0.665067792,0.14718011,0.0720315898,26.05888176,18.89478111,4.857379913,0.384647012,0.6,0.1,0.304591984,70.85147095,481.101532,16.56005478,0.514793992,0.0,51.6415428,135.5326586,149.755686,3.257637024
"CASSAVA ROOT, FRESH,BOILED",Dessert,R,1.5,86.0,46.4,3.8,5.0,229.0,0.5,0.2,33.5,32.1,0.0,17.0,18.0,0.5,0.3,0.04,0.02,0.4,0.0,0.0,11.0,17.0,0.0,0.0,0.0,0.0,0.258895628,52.620661199999994,136.000738,2.808044576,7.826521099999999,0.0,730.45662,179.522194,228.14867800000002,3.300820092
"CASSAVA, BOILED AND TEMPERED",Dessert,R,5.61216116,92.0,41.32000000000001,2.2600000000000002,2.54,183.2,1.455864072,8.711854935,19.02280045,15.45666981,0.0,56.26021194,30.54736328,1.295941949,0.287185997,0.074713998,0.038340099,0.568944573,0.122207046,0.15433012200000001,25.59797096,16.39490318,12.28779507,0.212617993,0.6799999999999999,0.14,0.267654002,56.0307045,341.3888855,11.52822304,0.440740973,0.0,42.9706446,22.747981199999998,153.66249799999997,2.644542933
"CASSAVA, W/ COCONUT MILK",Dessert,R,0.7,92.0,38.480000000000004,2.44,4.4399999999999995,185.4,1.2,7.7,30.4,0.8,0.0,41.0,3.1,0.88,0.04,0.03,0.06,0.2,0.0,0.0,1.4,10.5,9.0,0.0,0.1,0.0,0.1895657044,19.586826118,135.566024,1.8660353274,1.3731633101999998,0.0,289.153394,117.0840636,46.349759,0.4046962982
"CATFISH, DRIED, TEMPERED",Dessert,R,2.6848149,92.0,34.32000000000001,3.4599999999999995,8.540000000000001,213.2,33.407948,14.044325,5.532794,1.538873,51.385681,52.719791,86.805946,2.6188271,1.794384,0.02876248,0.11882851,1.8873882,1.4838635,2.796876,177.75378,7.6027465,18.585676,0.088514999,1.36,0.33999999999999997,0.36954001,270.58762,585.47656,5542.8662,424.55951,0.0,655.0726060000001,559.687518,311.253634,0.53767228
"CATFISH, DRIED, TEMPERED, W/ COCONUT MILK",Dessert,R,1.249688,92.0,41.32,2.2600000000000002,2.54,183.2,8.0545034,13.19938,3.6249828,0.14838301,10.8284,23.305115,22.55928,1.3187621,0.68083,0.016561421,0.032973651,0.74350327,0.32409266,0.58938003,42.945358,2.5629385,12.202394,0.030092999,0.6599999999999999,0.1,0.080743998,62.084438,147.81891,1168.5962,89.991081,7.8,500.136022,814.444898,318.801706,0.53767228
"CATFISH, FRESH, BOILED, W/ COCONUT MILK",Dessert,R,1.36043,92.0,41.32000000000001,2.26,2.54,183.2,12.752435,10.871611,4.1620331,0.53485501,9.3635998,23.421959,22.943344,1.76474,0.68491799,0.039738201,0.037282851,1.1038344,0.13194087,0.72675002,14.193074,2.4795806,16.195127,0.062613003,1.08,0.08,0.679452,141.51979,296.29309,19.728935,22.406715,3.2,49.9081576,26.808872400000002,164.399802,0.6276876116
"CATFISH, FRESH, FRIED",Dessert,R,0,92.0,41.32000000000001,2.26,2.54,234.8,23.297873,14.437351,0.0,0.0,19.285343,6.1042156,26.984776,0.76483798,0.612082,0.044642001,0.052519999,1.4495521,0.2079792,1.1817,10.739289,0.0,0.0,0.0,2.0,0.28,1.302496,264.70081,450.62161,37.625328,44.463432,9.4,156.075666,180.7249,311.077928,1.8050691562000005
CAVENDISH BANANA,Breakfast,S,,150.0,34.2,1.7,0.5,134.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
"CEYLON OLIVE, FRESH",Breakfast,S,3.3,92.0,32.480000000000004,3.44,3.44,161.4,1.03,15.32,3.84,0.974990808,4.88978,52.0,11.0,0.49,0.04,0.021,0.007,0.237,0.031,0.0,3.0,0.0,20.0,0.0,0.45999999999999996,0.06000000000000001,0.499025402,68.2065608,185.650732,15.793881200000001,18.896713118,0.0,204.335873,335.554012,153.486868,0.9682895962
"CHICK PEAS AND EGGPLANT, BOILED & TEMPERED, W/ COCONUT MILK",Dessert,R,9.0211515,92.0,34.32000000000001,3.46,8.540000000000001,213.2,7.1822343,10.78095,15.936284,11.201033,0.0,74.521614,49.983505,2.5508678,1.2047709,0.1059198,0.081549749,0.89666152,0.11989168,0.0,57.998123,1.9911611,13.91298,0.55681902,1.34,0.22000000000000003,0.78204501,87.022263,276.12674,8.7916651,13.221499,22.4,164.98923,302.93503,756.5188,0.59243798
"CHICK PEAS, BOILED",Dessert,R,6.1,92.0,35.32000000000001,3.2599999999999993,1.54,159.2,9.7,2.4,22.5,19.8,0.0,73.0,62.9,2.51,1.36,0.11,0.07,1.8,0.14,0.0,81.6,0.0,5.0,1.3,1.2,0.0,0.8986553914,101.52526594999999,347.64221216,12.236345186,13.6251918012,0.0,139.578206,265.32753319999995,512.643774,0.9180277834
"CHICK PEAS, BOILED & TEMPERED",Dessert,R,4.813622952,92.0,41.32000000000001,2.2600000000000002,2.54,183.2,8.102856636,5.252151966,22.42178345,17.79558563,0.0,30.93433952,66.18287659,1.790923953,1.21915102,0.143314004,0.039911103,0.539144814,0.099298194,0.1,71.20597839,2.761360407,2.400935173,0.29261899,2.2,0.45999999999999996,0.685205996,145.6900635,411.1635132,5.692287922,8.675303459,0.0,104.07795080000001,117.86145860000002,339.313416,1.072144032
"CHICK PEAS, BOILED & TEMPERED, W/ COCONUT MILK",Dessert,R,9.2248077,92.0,34.32000000000001,3.46,8.540000000000001,213.2,7.4230752,12.57994,17.190855,12.267808,0.0,83.922699,53.244522,3.3702836,1.262015,0.1086598,0.073764503,0.88803178,0.1257301,0.0,56.78405,2.4469323,14.081141,0.61269802,1.34,0.22000000000000003,0.79123104,92.634895,313.53955,9.28162,13.523345,22.4,190.54491,312.13559,787.28894,0.68234599
"CHICK PEAS, BOILED, W/ COCONUT MILK",Dessert,R,8.750461578,92.0,34.32000000000001,3.4599999999999995,8.540000000000001,213.2,6.961248875,8.995635986,15.89795113,11.03310013,0.0,86.98451996,49.74417496,2.506868362,1.13951695,0.108347297,0.075534947,0.862325668,0.133006394,0.1,55.21491623,6.213227749,33.28407288,0.542358994,1.3,0.5,0.782272995,87.26346588,295.7431641,10.21587658,12.6846056,3.2,100.34617599999999,137.8191916,415.8569600000001,0.965572
"CHICK PEAS, BOILED, W/ SCRAPED COCONUT & SUGAR",Dessert,R,14.66397858,92.0,34.32000000000001,3.46,8.540000000000001,213.2,10.19696426,7.407123089,26.13928795,18.14784622,0.0,75.39173126,70.57942963,2.735293627,1.522440553,0.117125772,0.095088124,0.725983083,0.133981884,0.1,53.06000137,0.0,11.98678493,0.910995007,1.5,0.45999999999999996,1.271174908,128.6762085,372.1258545,17.73695183,25.51993179,0.0,199.89478400000002,178.00394160000002,451.53965,0.391725004
"CHICK PEAS, SALAD",Dessert,R,14.45419693,92.0,34.32000000000001,3.4599999999999995,8.540000000000001,213.2,10.38610077,2.893427134,23.57131958,18.01681137,0.0,197.3493652,71.93041992,2.720099688,1.449706554,0.158502176,0.105036326,0.914541304,0.148990482,0.45600000000000007,57.20906448,4.024041176,19.60059357,0.895417988,1.8199999999999998,0.18,1.239566922,130.1658478,407.6621399,13.59042358,21.66928673,3.2,101.67143680000001,90.12231,277.9177778,1.34119904
CHICKEN BREAST,Breakfast,S,,100.0,0.0,31.0,3.6,165.0,6.36411666,16.129552800000003,23.494830600000004,20.3513071484,0.0,65.9113388,83.03177235199999,1.57884348,1.0691781900000001,0.090347218,0.101402638,1.4948898000000002,0.08133687460000001,0.0012969976,28.370682600000002,13.02,9.6796568,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
CHICKEN CURRY,Breakfast,S,,100.0,0.0,27.0,8.0,180.0,6.7041166599999995,16.1495528,36.9148306,19.9649454922,0.0,77.1113388,82.25412445600001,2.84284348,1.07517819,0.10234721799999999,0.10740263799999998,1.5148898000000002,0.1013368746,0.0012969976,32.5706826,11.42,9.279656800000001,5.2386287378,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
"CHICKEN GIBLETS, TEMPERED",Dessert,R,0.171407998,92.0,36.480000000000004,3.2399999999999998,3.04,234.8,15.31875229,6.341222763,0.517425001,0.200113997,47.69809341,5.420742989,12.72058201,2.693912029,2.22565794,0.0101438,0.094974704,2.177861452,0.075397849,0.75621974,6.269272327,1.22150147,0.4052248,0.529537022,2.74,0.32000000000000006,0.612618029,101.8027115,216.8795013,42.42908096,45.56362915,0.0,332.5196284,497.3807736,305.41217599999993,0.210199997
"CHICKEN GIZZARDS, TEMPERED",Dessert,R,0.66927397,92.0,35.32000000000001,3.2599999999999993,1.54,159.2,16.836697,7.2457328,1.037064,0.43025801,132.6976,11.496055,17.158676,5.6953583,2.260494,0.099881865,0.13529995,2.7887218,0.25334847,5.4113097,170.76416,1.2418674,8.2461243,0.59608901,1.4,0.13999999999999999,2.916724,156.07971,240.8219,47.336327,42.564533,1.6,574.249536,768.0000979999999,431.87322800000004,0.232092991
CHICKEN GRAVY,Breakfast,S,,50.0,0.0,3.5,1.5,25.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.0771280702,0.07504621040000001,1.3625114536,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
CHICKEN GRAVY W/ COCONUT MILK,Dessert,R,0.54230189,92.0,41.32000000000001,2.2600000000000002,2.54,286.4,11.586333,14.093225,3.0320685,0.41298395,53.862144,100.34262,18.108482,1.3582898,1.45022,0.075801738,0.08325015,2.2661743,0.19001696,0.23642789,10.223163,3.2629807,3.4330037,0.34808937,0.48,0.13999999999999999,0.57838196,144.24593,238.13998,30.860291,10.873442,22.4,376.13324,446.96411,245.58267,0.579032
CHICKEN KOTTU,Dessert,R,1.302634358,100.0,66.84,5.42,11.9,711.0,10.13679218,11.14574242,17.02129555,0.62527436,43.19093323,156.4949493,14.65272903,1.313417315,0.607939303,0.114443734,0.043360516,2.082950115,0.185999453,0.11434144,21.36367989,3.272261143,94.03885651,0.329658002,1.1,0.16,0.381200999,90.60656738,208.7476349,24.69810295,10.76525402,22.4,1038.3406300000001,1824.0037177999998,344.676778,0.525551319
CHICKEN KOTTU,Beverage,R,1.302634358,110.0,66.0,9.98,23.36,485.0,10.13679218,11.14574242,17.02129555,0.62527436,43.19093323,156.4949493,14.65272903,1.313417315,0.607939303,0.114443734,0.043360516,2.082950115,0.185999453,0.11434144,21.36367989,3.272261143,94.03885651,0.329658002,1.1,0.16,0.381200999,90.60656738,208.7476349,24.69810295,10.76525402,22.4,1038.3406300000001,1824.0037177999998,344.676778,0.525551319
CHICKEN KOTTU,Dessert,R,1.302634358,90.0,46.64,7.38,11.98,325.0,10.13679218,11.14574242,17.02129555,0.62527436,43.19093323,156.4949493,14.65272903,1.313417315,0.607939303,0.114443734,0.043360516,2.082950115,0.185999453,0.11434144,21.36367989,3.272261143,94.03885651,0.329658002,1.1,0.16,0.381200999,90.60656738,208.7476349,24.69810295,10.76525402,22.4,1038.3406300000001,1824.0037177999998,344.676778,0.525551319
"CHICKEN MEAT W/ BONE, DEEP-FRIED",Dessert,R,1.064477921,92.0,41.32000000000001,2.26,2.54,183.2,18.56464577,25.09938049,1.668400049,1.509902,54.49456024,20.96029663,20.83045578,1.833059311,0.711547554,0.065512352,0.031248249,3.755392075,0.397112459,0.1823913,7.083724022,0.0,3.205209732,0.386348009,2.7399999999999998,0.32,0.675864995,154.2052307,317.9765015,16.31215096,16.94472885,1.6,659.6593662,743.1848555600001,232.78138179999996,0.029488001
"CHICKEN MEAT W/ BONE, TEMPERED",Dessert,R,0.6,92.0,32.480000000000004,3.44,3.44,161.4,18.5,10.2,1.1,0.6,51.3,20.0,22.5,1.1,0.71,0.07,0.05,5.4,0.37,0.18415929,11.0,1.4,25.0,0.3,2.0,0.1,0.5183649889999999,144.85933834,260.1302223,41.419116992000006,18.021576550000002,0.0,253.12060619999997,315.19427155999995,155.11384579999998,0.23469679639999996
"CHICKEN MEAT W/ BONE, TEMPERED, BOILED",Dessert,R,0.8,92.0,32.480000000000004,3.44,3.44,161.4,18.7,7.7,2.1,0.7,51.4,21.0,24.0,1.12,0.75,0.04,0.04,3.4,0.23,0.18415929,14.4,1.9,24.0,0.3,2.0,0.1,0.5279153940000001,138.3710102,240.434202,52.790353800000005,20.32351718,0.0,253.12060620000003,315.19427155999995,155.11384579999998,0.23469679639999996
"CHICKEN MEAT W/ BONE, TEMPERED, W/ COCONUT MILK",Dessert,R,1.3,92.0,32.480000000000004,3.44,3.44,161.4,18.1,12.9,3.0,1.6,48.8,29.0,27.1,1.54,0.75,0.04,0.05,3.3,0.22,0.1331304,11.4,2.6,46.0,0.3,2.0,0.1,0.5279153940000001,118.01829219999999,240.434202,52.790353800000005,20.32351718,7.8,253.26820619999998,321.44509075999997,185.60207580000002,3.1474167964000004
"CHICKEN MEAT W/ BONE, W/ COCONUT MILK",Dessert,R,1.3,86.0,39.4,5.0,11.0,259.0,14.2,9.8,3.1,2.2,37.2,28.0,24.0,1.32,0.63,0.03,0.05,2.7,0.17,0.1331304,9.7,2.3,109.0,0.2,2.3,0.1,0.3282243982,33.096870328,195.02230086,13.32207146,82.96675997,27.0,47.4709192,43.0858892,109.83871399999998,4.211321171
"CHICKEN MEAT, BONES REMOVED, BOILED, PLAIN",Dessert,R,0.662199974,92.0,41.32000000000001,2.26,2.54,183.2,22.72500038,10.45919991,0.726999998,0.700999975,67.3506012,19.71183968,17.49361992,1.184620023,0.818599999,0.062909998,0.04016,3.456439972,0.306300014,0.1734,8.427160263,0.0,3.140000105,0.396599978,2.7399999999999998,0.32,0.83160001,161.0479889,258.7399902,17.0936203,20.7670002,3.2,924.0784682000001,1111.94558556,297.3259838,0.0064
"CHICKEN MEAT, BONES REMOVED, COOKED W/ WATER",Dessert,R,0.721183,92.0,41.32,2.2600000000000002,2.54,183.2,18.857018,8.6045609,2.025167,0.52700597,55.0228,40.827736,23.397343,1.197724,0.71266699,0.083472155,0.041726202,4.5479722,0.34675851,0.18415929,12.463428,1.6081327,8.315258,0.33278799,1.78,0.18,0.75059801,194.35684,358.35471,20.342047,17.027861,22.4,368.97049,386.55566,256.91956,0.86081499
"CHICKEN MEAT, BONES REMOVED, TEMPERED",Dessert,R,0.6,92.0,32.480000000000004,3.44,3.44,161.4,18.5,10.2,1.1,0.6,51.3,20.0,22.5,1.1,0.71,0.07,0.05,5.4,0.37,0.18415929,11.0,1.4,25.0,0.3,2.0,0.1,0.5183649889999999,144.85933834,260.1302223,41.419116992000006,18.021576550000002,0.0,253.12060619999997,315.19427155999995,155.11384579999998,0.23469679639999996
"CHICKEN MEAT, BONES REMOVED, TEMPERED, W/ COCONUT MILK",Dessert,R,1.3,92.0,32.480000000000004,3.44,3.44,161.4,18.1,12.9,3.0,1.6,48.8,29.0,27.1,1.54,0.75,0.04,0.05,3.3,0.22,0.1331304,11.4,2.6,46.0,0.3,2.0,0.1,0.5279153940000001,118.01829219999999,240.434202,52.790353800000005,20.32351718,7.8,253.26820619999998,321.44509075999997,185.60207580000002,3.1474167964000004
"CHICKEN MEAT, BONES REMOVED, W/ COCONUT MILK",Dessert,R,1.3,86.0,39.4,5.0,11.0,259.0,14.2,9.8,3.1,2.2,37.2,28.0,24.0,1.32,0.63,0.03,0.05,2.7,0.17,0.1331304,9.7,2.3,109.0,0.2,2.3,0.1,0.3282243982,33.096870328,195.02230086,13.32207146,82.96675997,27.0,47.4709192,43.0858892,109.83871399999998,4.211321171
"CHICKEN MEAT, W/ BONE, COOKED W/ WATER",Dessert,R,0.721183,92.0,41.32,2.2600000000000002,2.54,183.2,15.965468,12.729396,2.025167,0.52700597,76.60527,45.494217,24.147312,1.031064,1.22098,0.1022214,0.1083902,5.5058503,0.20051438,0.18415929,10.182686,1.6081327,8.315258,0.48278198,1.78,0.18,1.11725,159.35825,268.35831,42.79948,17.052858,20.8,877.28351,1183.1906,487.74365,0.86081499
CHILI SAMBOL,Dessert,R,,92.0,32.480000000000004,3.44,3.44,161.4,1.3,0.23,8.2,1.96314146,0.0,25.7,22.32,0.38,0.22,0.1,0.01,0.61,0.19,0.0,17.8,10.7,1.6,0.1160218,1.3800000000000001,0.26,0.2424134,36.6761444,279.317676,9.00667416,120.3732152,0.0,23.8719766,12.1979304,50.0079764,2.688432434
"CHILI SAMBOL, W/ ONION",Dessert,R,2.3907671,92.0,41.32000000000001,2.26,2.54,183.2,1.488193,0.246792,7.991982,0.68623298,0.0,15.536249,16.646751,0.400002,0.227983,0.050221998,0.012101,0.37371001,0.080105007,0.0,26.027134,20.094193,4.8649669,0.085957006,2.8,1.04,0.290878,33.026466,196.96759,3.9644592,0.377289,0.0,61.36047,38.058044,108.5946,4.9084492
"CHILI, FRIED",Dessert,R,28.052999,92.0,31.52,4.0600000000000005,10.74,225.2,11.412,17.269001,25.857,4.0050001,0.0,96.300003,207.89999,4.8509998,1.485,0.37485,0.71820003,5.3783998,0.34020001,0.0,29.502899,0.0,334.30499,1.062,1.3599999999999999,0.32,0.648,310.5,1965.6,20.205,15.075,20.8,993.27417,554.37744,3079.0459,3.8970001
"CHILI, GREEN, FRESH",Breakfast,S,4.8,92.0,41.32000000000001,2.26,2.54,183.2,2.4,0.7,5.9,2.0,0.0,18.0,29.5,1.2,0.27,0.09,0.11,0.9,0.28,0.0,2.5,94.1,0.0,0.3,8.8,1.0,0.22,50.91,341.0,2.5,0.0,0.0,0.129,0.0322,0.413,0.67
"CHILI, RED, DRIED",Breakfast,S,31.15,78.0,34.12,4.46,11.540000000000001,242.2,12.69,6.4,29.46,15.820000000000002,18.34,99.83,231.0,6.23,1.66,0.46,0.83,6.94,0.42,0.0,51.5,0.0,35.604,1.04,3.34,0.1,0.57,280.0,2245.0,19.45,18.83,7.8,1.141,0.718,3.263,4.7
"CHILI, RED, FRESH",Breakfast,S,4.8,92.0,41.32000000000001,2.26,2.54,183.2,2.4,0.7,5.9,2.0,0.0,18.0,29.5,1.2,0.27,0.09,0.11,0.9,0.28,0.0,2.5,94.1,0.0,0.3,8.8,1.0,0.22,50.91,341.0,2.5,0.0,0.0,0.129,0.0322,0.413,0.67
"CHINESE ROLL, FISH",Breakfast,S,2.7,86.0,42.04,4.92,9.16,420.2,10.9,15.2,40.3,36.8,55.4,88.0,27.9,1.7,0.71,0.19,0.1,5.4,0.24,0.72666872,31.7,3.8,190.0,0.5,1.9,0.2,0.5931239118,88.1783554,329.336212,169.8018438,87.3024321,27.0,557.243648,943.070782,431.246864,1.3132047342
"CHINESE ROLL, VEGETABLE",Breakfast,S,4.3601542,92.0,34.32000000000001,3.46,8.540000000000001,213.2,7.3927488,12.953424,43.233631,35.245422,37.458961,55.842339,47.522408,1.8303673,0.85000038,0.17513797,0.072936974,1.6480993,0.1805106,0.079824522,31.262402,21.459167,116.65749,0.35148835,1.3199999999999998,0.15999999999999998,0.86953759,135.0849,737.3396,84.106316,9.045846,20.8,518.87311,578.84125,499.7742,2.0115962
CHOCO BAR,Breakfast,S,,10.0,6.0,0.5,4.0,60.0,5.702760601,12.896095401,16.166682739200002,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536000003,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
CHOCOLATE,Breakfast,S,,20.0,12.9,0.6,5.5,104.4,5.702760601,12.896095401,16.166682739200002,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.0771280702,0.07504621040000001,1.3625114536000003,0.0989542506,0.0012969976,25.918320846,15.937936897999998,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
CHOCOLATE CAKE,Breakfast,S,,60.0,35.0,3.0,12.0,250.0,7.296972285200001,16.996562439799998,44.163274966,19.9649454922,0.0,73.47760467,82.254124456,3.1624691246,1.2001095659999998,0.0900431242,0.1044363336,1.5849060602,0.11928794760000001,0.0012969976,28.554310874,0.62,8.5489104212,5.2386287378,4.819999999999999,0.08,0.3609731964,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
CHOCOLATE CREAM BISCUIT,Breakfast,S,,11.5,8.0,1.0,2.0,53.0,5.702760601,12.896095401,16.166682739200002,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536000003,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
